2023_03_15-13_17,bert,mlm,none,indiv,pos,0.8247082360786929,0.9038679559853284,,,0.9442480826942314,0.9341780593531177,0.9280093364454818,0.9229409803267756
2023_03_15-13_23,bert,mlm,none,cond,pos,0.8237079026342115,0.9076025341780594,,,0.9476492164054685,0.9468156052017339,0.9441147049016338,0.942480826942314
2023_03_15-13_27,bert,mlm,none,indiv,dep,0.6002334111370456,0.7286762254084694,,,0.8299766588862955,0.8127375791930643,0.798866288762921,0.7775925308436146
2023_03_15-13_32,bert,mlm,none,cond,dep,0.5999333111037012,0.7365788596198732,,,0.8338779593197733,0.8277092364121373,0.8143381127042347,0.7981327109036346
2023_03_15-13_39,distilbert,mlm,none,indiv,pos,0.8244748249416473,0.9169056352117373,0.9456818939646549,0.9385795265088362,0.9338446148716238,,,
2023_03_15-13_42,bert,mlm,mnli,indiv,pos,0.8217739246415472,0.8955985328442815,,,0.936378792930977,0.909136378792931,0.9008002667555852,0.8967322440813604
2023_03_15-13_42,distilbert,mlm,mnli,indiv,pos,0.8239746582194065,0.9073357785928643,0.9253751250416805,0.9023674558186062,0.8685895298432811,,,
2023_03_15-13_43,distilbert,mlm,distmnli,indiv,pos,0.8226408802934312,0.907135711903968,0.921840613537846,0.890163387795932,0.8381127042347449,,,
2023_03_15-13_45,distilbert,mlm,none,cond,pos,0.8234744914971657,0.9178726242080694,0.9511503834611538,0.9473157719239746,0.9439813271090364,,,
2023_03_15-13_49,distilbert,mlm,mnli,cond,pos,0.8237412470823607,0.9118039346448816,0.9354118039346448,0.9285428476158719,0.9157385795265088,,,
2023_03_15-13_49,distilbert,mlm,distmnli,cond,pos,0.8230743581193731,0.910970323441147,0.9335445148382794,0.9243414471490496,0.9097699233077693,,,
2023_03_15-13_50,distilbert,mlm,none,indiv,dep,0.6025675225075025,0.7534178059353118,0.8394131377125709,0.8203401133711237,0.7960653551183728,,,
2023_03_15-13_50,bert,mlm,mnli,cond,pos,0.8214404801600533,0.9000333444481494,,,0.9414804934978326,0.9354451483827942,0.9322440813604534,0.9310103367789263
2023_03_15-13_53,distilbert,mlm,mnli,indiv,dep,0.6010003334444814,0.7354784928309437,0.8035345115038346,0.763454484828276,0.7017339113037679,,,
2023_03_15-13_54,distilbert,mlm,distmnli,indiv,dep,0.5989663221073691,0.7377459153051017,0.8062020673557853,0.747515838612871,0.6712904301433811,,,
2023_03_15-13_55,bert,mlm,mnli,indiv,dep,0.5994998332777592,0.7076358786262087,,,0.8130376792264088,0.7814938312770924,0.7709236412137379,0.7562854284761588
2023_03_15-13_56,distilbert,mlm,none,cond,dep,0.6032677559186396,0.7572524174724908,0.8457485828609537,0.8297432477492498,0.8089696565521841,,,
2023_03_15-14_00,distilbert,mlm,mnli,cond,dep,0.6008002667555852,0.7461820606868956,0.8166722240746915,0.7911303767922641,0.7524174724908302,,,
2023_03_15-14_00,distilbert,mlm,distmnli,cond,dep,0.6009003001000334,0.7444148049349784,0.8199733244414805,0.7831610536845616,0.7357119039679894,,,
2023_03_15-14_02,bert,mlm,mnli,cond,dep,0.5973324441480493,0.7169056352117372,,,0.8217739246415472,0.8095365121707235,0.8033011003667889,0.791030343447816
